"COUNTRY","CYEAR","ON_TIME","GTEQ_24_MONTHS","12_TO_23_MONTHS","24_TO_36_MONTHS","TARGETNUMBER","DELAYED","TOT","COV_ON_TIME","COV_TOT","COV_DELAYED","DIF_COV"
"AZE",2019,108995,3757,0,0,132501,3757,112752,82.2597565301394,85.0952068286277,2.83545029848831,2.83545029848831
"AZE",2020,122305,5404,0,0,131293,5404,127709,93.1542428004539,97.270227658748,4.11598485829404,4.11598485829404
"AZE",2021,95634,0,0,0,103304,0,95634,92.5753117013862,92.5753117013862,0,0
"BDI",2018,331609,0,0,0,378062,0,331609,87.7128619115383,87.7128619115383,0,0
"BDI",2019,377102,0,0,0,386715,0,377102,97.5141900365903,97.5141900365903,0,0
"BDI",2020,388449,0,0,0,397310,0,388449,97.7697515793713,97.7697515793713,0,0
"BDI",2021,402050,0,0,0,465259,0,402050,86.4142337923608,86.4142337923608,0,0
"BDI",2022,395421,0,0,0,474997,0,395421,83.2470520866448,83.2470520866448,0,0
"BEN",2018,350740,0,7510,0,359827,7510,358250,97.4746197478233,99.5617338332032,2.08711408537992,2.08711408537992
"BEN",2019,399070,0,5785,0,370173,5785,404855,107.806350003917,109.369132810875,1.56278280695783,1.56278280695784
"BEN",2020,375762,0,11726,0,347445,11726,387488,108.150066917066,111.524989566694,3.374922649628,3.374922649628
"BEN",2021,395421,0,20306,0,353636,20306,415727,111.815821918583,117.557884378287,5.74206245970433,5.74206245970433
"BEN",2022,411959,0,0,0,360581,0,411959,114.248670895028,114.248670895028,0,0
"BFA",2018,803019,0,656,0,777145,656,803675,103.329365819763,103.413777351717,0.0844115319534965,0.0844115319534779
"BFA",2019,448927,0,1533,0,492047,1533,450460,91.2366095108801,91.5481651143082,0.311555603428128,0.311555603428133
"BFA",2020,793852,0,2488,0,805961,2488,796340,98.497569981674,98.8062697822847,0.3086998006107,0.308699800610697
"BFA",2021,833057,0,9172,0,834638,9172,842229,99.8105765613356,100.909496092917,1.09891953158136,1.09891953158134
"BFA",2022,842370,0,0,0,849044,0,842370,99.2139394424788,99.2139394424788,0,0
"BGR",2017,55521,0,0,0,59782,0,55521,92.8724365193537,92.8724365193537,0,0
"BGR",2018,57884,0,0,0,60888,0,57884,95.0663513335961,95.0663513335961,0,0
"BGR",2019,49418,0,0,0,55964,0,49418,88.3031949110142,88.3031949110142,0,0
"BGR",2020,48345,0,0,0,54031,0,48345,89.4764116895856,89.4764116895856,0,0
"BGR",2021,50381,0,0,0,55241,0,50381,91.2021867815572,91.2021867815572,0,0
"BHR",2017,19574,943,0,0,19574,943,20517,100,104.817615203842,4.81761520384183,4.81761520384183
"BHR",2018,18503,505,0,0,18503,505,19008,100,102.729287142626,2.72928714262552,2.72928714262552
"BHR",2019,17843,698,0,0,17843,698,18541,100,103.911898223393,3.91189822339293,3.91189822339292
"BHR",2020,17026,1174,0,0,17026,1174,18200,100,106.895336544109,6.89533654410901,6.89533654410901
"BHR",2021,17400,0,0,0,17400,0,17400,100,100,0,0
"BHS",2017,3659,460,0,0,4102,460,4119,89.2003900536324,100.414431984398,11.2140419307655,11.2140419307655
"BHS",2018,3489,239,0,0,4183,239,3728,83.4090365766197,89.1226392541238,5.71360267750418,5.71360267750418
"BHS",2019,3379,239,0,0,3897,239,3618,86.7077238901719,92.8406466512702,6.13292276109828,6.13292276109827
"BHS",2020,3211,392,0,392,3897,392,3603,82.3967154221196,92.4557351809084,10.0590197587888,10.0590197587888
"BHS",2021,2997,0,0,0,3726,0,2997,80.4347826086957,80.4347826086957,0,0
"BIH",2017,21610,5691,0,0,30184,5691,27301,71.5942221044262,90.4485820302147,18.8543599257885,18.8543599257885
"BIH",2018,23753,0,0,0,28992,0,23753,81.9294977924945,81.9294977924945,0,0
"BIH",2019,17177,2282,0,0,28308,2282,19459,60.6789600113042,68.7402854316801,8.06132542037587,8.06132542037587
"BIH",2020,16481,0,9745,0,27202,9745,26226,60.5874568046467,96.4120285273142,35.8245717226675,35.8245717226674
"BIH",2021,15263,0,0,0,26249,0,15263,58.1469770276963,58.1469770276963,0,0
"BLR",2017,104472,505,0,0,106313,505,104977,98.268320901489,98.7433333646873,0.475012463198292,0.475012463198283
"BLR",2018,92820,83,0,0,94522,83,92903,98.1993609953238,98.2871712405578,0.0878102452339138,0.0878102452339107
"BLR",2019,83563,143,0,0,85953,143,83706,97.219410608123,97.3857806010261,0.166369992903098,0.1663699929031
"BLR",2020,78897,141,0,0,80784,141,79038,97.6641414141414,97.8386809269162,0.174539512774807,0.174539512774814
"BLR",2021,74735,0,0,0,76047,0,74735,98.2747511407419,98.2747511407419,0,0
"BLZ",2017,6630,50,0,0,6847,50,6680,96.8307287863298,97.5609756097561,0.730246823426318,0.730246823426327
"BLZ",2018,7057,48,0,0,7354,48,7105,95.9613815610552,96.6140875713897,0.652706010334512,0.652706010334512
"BLZ",2019,5840,31,0,26,7135,57,5897,81.8500350385424,82.6489138051857,0.798878766643308,0.798878766643313
"BLZ",2020,5460,34,0,30,6873,64,5524,79.4412920122217,80.3724719918522,0.931179979630438,0.931179979630443
"BLZ",2021,5332,0,0,0,6599,0,5332,80.8001212304895,80.8001212304895,0,0
"BMU",2017,510,0,0,0,587,0,510,86.8824531516184,86.8824531516184,0,0
