"COUNTRY","YEAR","VACCINECODE","AGEGROUP","DOSES"
"JPN",2018,"DTPCV3","NOT_COLLECTED","1000466"
"CPV",2019,"DTPCV3","NOT_COLLECTED",NA
"EGY",2019,"MCV1","NOT_COLLECTED","2250618"
"CUB",2017,"MCV1","NOT_COLLECTED","117726"
"EGY",2017,"DTPCV3","NOT_COLLECTED","2381831"
"COK",2017,"DTPCV3","NOT_COLLECTED","211"
"PER",2019,"MCV1","GTEQ_24_MONTHS","30713"
"BRN",2018,"MCV1","NOT_COLLECTED","6163"
"NLD",2019,"MCV1","NOT_COLLECTED","161053"
"NIC",2018,"MCV1","GTEQ_24_MONTHS","12205"
"BRA",2019,"DTPCV3","12_TO_23_MONTHS",NA
"GIN",2019,"MCV1","NOT_COLLECTED","417241"
"SWE",2019,"DTPCV3","NOT_COLLECTED",NA
"PYF",2019,"MCV1","NOT_COLLECTED",NA
"BGR",2019,"DTPCV3","NOT_COLLECTED","56785"
"TCA",2018,"DTPCV3","GTEQ_24_MONTHS","2"
"DZA",2018,"MCV1","NOT_COLLECTED","871944"
"USA",2018,"DTPCV3","12_TO_23_MONTHS",NA
"ECU",2019,"MCV1","GTEQ_24_MONTHS","10523"
"COD",2019,"MCV1","NOT_COLLECTED","3448222"
"MAR",2017,"DTPCV3","NOT_COLLECTED","675723"
"SGP",2017,"DTPCV3","NOT_COLLECTED","32375"
"JPN",2019,"DTPCV3","NOT_COLLECTED","953196"
"MMR",2019,"MCV1","NOT_COLLECTED","814623"
"CUW",2018,"DTPCV3","GTEQ_24_MONTHS",NA
"CYM",2017,"DTPCV3","NOT_COLLECTED","652"
"NIC",2019,"DTPCV3","12_TO_23_MONTHS","603"
"SUR",2018,"MCV1","NOT_COLLECTED","9251"
"CAN",2018,"MCV1","NOT_COLLECTED",NA
"EST",2017,"DTPCV3","NOT_COLLECTED","12602"
"PAK",2017,"MCV1","NOT_COLLECTED","5606848"
"SVK",2017,"MCV1","NOT_COLLECTED","53072"
"BLR",2017,"MCV1","NOT_COLLECTED","111479"
"PYF",2017,"MCV1","NOT_COLLECTED",NA
"UKR",2019,"DTPCV3","NOT_COLLECTED","266354"
"SVK",2018,"DTPCV3","NOT_COLLECTED","55737"
"AND",2017,"MCV1","NOT_COLLECTED",NA
"FRA",2018,"DTPCV3","NOT_COLLECTED",NA
"MMR",2018,"DTPCV3","NOT_COLLECTED","864773"
"PER",2019,"MCV1","NOT_COLLECTED","469481"
"MLI",2017,"MCV1","NOT_COLLECTED","658789"
"FRA",2017,"DTPCV3","NOT_COLLECTED",NA
"USA",2017,"MCV1","NOT_COLLECTED",NA
"BLZ",2017,"MCV1","NOT_COLLECTED","6394"
"EGY",2018,"DTPCV3","NOT_COLLECTED","2344275"
"MUS",2019,"MCV1","NOT_COLLECTED","11943"
"DJI",2018,"MCV1","NOT_COLLECTED","20346"
"LTU",2017,"DTPCV3","NOT_COLLECTED","27155"
"BRB",2017,"MCV1","NOT_COLLECTED","2351"
"MWI",2019,"DTPCV3","NOT_COLLECTED","691439"
"BDI",2019,"DTPCV3","NOT_COLLECTED","399514"
"BOL",2019,"DTPCV3","12_TO_23_MONTHS","6337"
"MHL",2018,"DTPCV3","NOT_COLLECTED","22"
"PNG",2018,"MCV1","NOT_COLLECTED","101538"
"COK",2018,"MCV1","NOT_COLLECTED","228"
"MDA",2019,"MCV1","NOT_COLLECTED","36536"
"BOL",2018,"DTPCV3","NOT_COLLECTED","201807"
"PRK",2018,"DTPCV3","NOT_COLLECTED","325336"
"CHL",2018,"MCV1","NOT_COLLECTED","204353"
"SWE",2017,"DTPCV3","NOT_COLLECTED",NA
"DEU",2018,"DTPCV3","NOT_COLLECTED",NA
"DOM",2019,"DTPCV3","12_TO_23_MONTHS",NA
"VCT",2018,"MCV1","NOT_COLLECTED","1562"
"TKM",2018,"MCV1","NOT_COLLECTED",NA
"ALB",2018,"MCV1","NOT_COLLECTED","27677"
"ETH",2019,"MCV1","NOT_COLLECTED","2859560"
"RWA",2019,"DTPCV3","NOT_COLLECTED","356591"
"ERI",2019,"DTPCV3","NOT_COLLECTED","78049"
"TCD",2017,"MCV1","NOT_COLLECTED","475344"
"LAO",2019,"DTPCV3","NOT_COLLECTED","143323"
"BHS",2018,"DTPCV3","12_TO_23_MONTHS",NA
"DMA",2018,"MCV1","GTEQ_24_MONTHS","23"
"TUR",2019,"MCV1","NOT_COLLECTED","1203966"
"GRC",2017,"MCV1","NOT_COLLECTED",NA
"CHL",2019,"MCV1","NOT_COLLECTED","208482"
"ECU",2018,"MCV1","NOT_COLLECTED","276814"
"SRB",2018,"MCV1","NOT_COLLECTED","59911"
"BRA",2019,"DTPCV3","NOT_COLLECTED","2036873"
"JAM",2017,"DTPCV3","NOT_COLLECTED","31649"
"AUT",2017,"DTPCV3","NOT_COLLECTED",NA
"MRT",2018,"DTPCV3","NOT_COLLECTED","120276"
