"COUNTRY","YEAR","VACCINECODE","AGEGROUP","DOSES"
"SLV",2017,"MCV1","12_TO_23_MONTHS",NA
"GRD",2018,"MCV1","12_TO_23_MONTHS","-4444"
"NER",2017,"MCV1","12_TO_23_MONTHS","0"
"NGA",2018,"MCV1","12_TO_23_MONTHS","63753"
"NER",2017,"MCV1","GTEQ_24_MONTHS","0"
"PRK",2017,"MCV1","GTEQ_24_MONTHS",NA
"MLI",2019,"MCV1","12_TO_23_MONTHS","9053"
"KHM",2017,"MCV1","GTEQ_24_MONTHS",NA
"COD",2019,"MCV1","GTEQ_24_MONTHS",NA
"KNA",2019,"MCV1","GTEQ_24_MONTHS","2"
"CMR",2019,"MCV1","12_TO_23_MONTHS",NA
"UGA",2017,"MCV1","12_TO_23_MONTHS","61877"
"KAZ",2018,"MCV1","12_TO_23_MONTHS",NA
"CUB",2018,"MCV1","12_TO_23_MONTHS",NA
"KHM",2019,"MCV1","12_TO_23_MONTHS","58368"
"COL",2018,"MCV1","12_TO_23_MONTHS",NA
"TCA",2017,"MCV1","GTEQ_24_MONTHS","12"
"MEX",2019,"MCV1","12_TO_23_MONTHS","-4444"
"MEX",2017,"MCV1","12_TO_23_MONTHS","-4444"
"BHS",2017,"MCV1","GTEQ_24_MONTHS","1200"
"PRK",2019,"MCV1","GTEQ_24_MONTHS","0"
"KEN",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"UZB",2017,"MCV1","12_TO_23_MONTHS",NA
"HND",2018,"MCV1","12_TO_23_MONTHS","-4444"
"BMU",2017,"MCV1","12_TO_23_MONTHS","-2222"
"JOR",2018,"MCV1","GTEQ_24_MONTHS",NA
"NGA",2018,"MCV1","GTEQ_24_MONTHS","-4444"
"ISL",2018,"MCV1","12_TO_23_MONTHS","0"
"KOR",2017,"MCV1","12_TO_23_MONTHS",NA
"KEN",2018,"MCV1","12_TO_23_MONTHS","36982"
"ALB",2019,"MCV1","12_TO_23_MONTHS",NA
"ARM",2018,"MCV1","12_TO_23_MONTHS",NA
"BRB",2019,"MCV1","GTEQ_24_MONTHS","91"
"ABW",2018,"MCV1","12_TO_23_MONTHS","-4444"
"GBR",2017,"MCV1","12_TO_23_MONTHS",NA
"BRA",2017,"MCV1","12_TO_23_MONTHS","-2222"
"KNA",2018,"MCV1","12_TO_23_MONTHS","-4444"
"LSO",2017,"MCV1","GTEQ_24_MONTHS",NA
"UZB",2019,"MCV1","12_TO_23_MONTHS",NA
"LVA",2017,"MCV1","12_TO_23_MONTHS",NA
"FJI",2017,"MCV1","GTEQ_24_MONTHS","2380"
"NGA",2017,"MCV1","12_TO_23_MONTHS","122493"
"KGZ",2018,"MCV1","GTEQ_24_MONTHS","8726"
"SUR",2019,"MCV1","GTEQ_24_MONTHS","425"
"NOR",2018,"MCV1","12_TO_23_MONTHS",NA
"CRI",2017,"MCV1","12_TO_23_MONTHS",NA
"NLD",2018,"MCV1","GTEQ_24_MONTHS",NA
"LAO",2018,"MCV1","12_TO_23_MONTHS","16668"
"BRB",2019,"MCV1","12_TO_23_MONTHS","-4444"
"MUS",2019,"MCV1","12_TO_23_MONTHS","110"
"MLI",2018,"MCV1","GTEQ_24_MONTHS","0"
"GAB",2017,"MCV1","12_TO_23_MONTHS","428"
"NAM",2019,"MCV1","12_TO_23_MONTHS","5660"
"LTU",2018,"MCV1","GTEQ_24_MONTHS","9399"
"BHR",2017,"MCV1","GTEQ_24_MONTHS","1121"
"YEM",2017,"MCV1","12_TO_23_MONTHS","40553"
"HND",2019,"MCV1","12_TO_23_MONTHS","-4444"
"KHM",2018,"MCV1","GTEQ_24_MONTHS",NA
"AIA",2017,"MCV1","GTEQ_24_MONTHS","25"
"EGY",2017,"MCV1","GTEQ_24_MONTHS","532717"
"BWA",2018,"MCV1","12_TO_23_MONTHS","2054"
"DZA",2018,"MCV1","GTEQ_24_MONTHS",NA
"GRD",2017,"MCV1","12_TO_23_MONTHS","-4444"
"ERI",2019,"MCV1","12_TO_23_MONTHS","590"
"PSE",2017,"MCV1","GTEQ_24_MONTHS","0"
"PAN",2017,"MCV1","GTEQ_24_MONTHS",NA
"NOR",2019,"MCV1","12_TO_23_MONTHS",NA
"TLS",2019,"MCV1","12_TO_23_MONTHS","-2222"
"KAZ",2018,"MCV1","GTEQ_24_MONTHS","8197"
"MNE",2018,"MCV1","GTEQ_24_MONTHS","1316"
"PRK",2017,"MCV1","12_TO_23_MONTHS","0"
"LTU",2017,"MCV1","12_TO_23_MONTHS",NA
"CUW",2018,"MCV1","12_TO_23_MONTHS","-4444"
"SSD",2017,"MCV1","GTEQ_24_MONTHS","-2222"
"ARG",2018,"MCV1","12_TO_23_MONTHS",NA
"MHL",2019,"MCV1","GTEQ_24_MONTHS",NA
"MOZ",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"URY",2017,"MCV1","12_TO_23_MONTHS","-4444"
"BFA",2019,"MCV1","GTEQ_24_MONTHS","-4444"
"PRY",2019,"MCV1","12_TO_23_MONTHS","-4444"
"KAZ",2019,"MCV1","GTEQ_24_MONTHS","18739"
"LCA",2019,"MCV1","GTEQ_24_MONTHS",NA
"SUR",2019,"MCV1","12_TO_23_MONTHS","-2222"
"NLD",2019,"MCV1","GTEQ_24_MONTHS",NA
"CUB",2017,"MCV1","GTEQ_24_MONTHS","312"
"CPV",2019,"MCV1","GTEQ_24_MONTHS","-4444"
"DEU",2017,"MCV1","GTEQ_24_MONTHS",NA
"DMA",2017,"MCV1","GTEQ_24_MONTHS","1"
"SAU",2018,"MCV1","12_TO_23_MONTHS","3"
"SOM",2017,"MCV1","12_TO_23_MONTHS","170516"
"CYP",2017,"MCV1","12_TO_23_MONTHS",NA
"CZE",2017,"MCV1","12_TO_23_MONTHS",NA
"BFA",2017,"MCV1","12_TO_23_MONTHS","101"
"VUT",2019,"MCV1","GTEQ_24_MONTHS",NA
"AND",2017,"MCV1","12_TO_23_MONTHS",NA
"MWI",2019,"MCV1","12_TO_23_MONTHS","1690"
"LVA",2017,"MCV1","GTEQ_24_MONTHS","1907"
"LKA",2017,"MCV1","12_TO_23_MONTHS",NA
"IRL",2019,"MCV1","12_TO_23_MONTHS",NA
"MKD",2018,"MCV1","GTEQ_24_MONTHS",NA
"VGB",2019,"MCV1","GTEQ_24_MONTHS","39"
"CPV",2019,"MCV1","12_TO_23_MONTHS","20"
"PAN",2017,"MCV1","12_TO_23_MONTHS",NA
"SWZ",2017,"MCV1","GTEQ_24_MONTHS",NA
"GNB",2017,"MCV1","12_TO_23_MONTHS","-4444"
"IRL",2018,"MCV1","GTEQ_24_MONTHS","-2222"
"NIU",2019,"MCV1","12_TO_23_MONTHS","33"
"BOL",2017,"MCV1","12_TO_23_MONTHS",NA
"LTU",2018,"MCV1","12_TO_23_MONTHS",NA
"GHA",2018,"MCV1","GTEQ_24_MONTHS","-4444"
"GBR",2019,"MCV1","GTEQ_24_MONTHS",NA
"ROU",2018,"MCV1","12_TO_23_MONTHS",NA
"UGA",2018,"MCV1","12_TO_23_MONTHS","104535"
"SWZ",2017,"MCV1","12_TO_23_MONTHS","3327"
"SOM",2018,"MCV1","12_TO_23_MONTHS","172666"
"SLE",2018,"MCV1","GTEQ_24_MONTHS","-4444"
"SEN",2019,"MCV1","GTEQ_24_MONTHS","-4444"
"NIU",2018,"MCV1","12_TO_23_MONTHS","28"
"KAZ",2017,"MCV1","12_TO_23_MONTHS",NA
"BRB",2017,"MCV1","12_TO_23_MONTHS",NA
"AIA",2019,"MCV1","GTEQ_24_MONTHS","14"
"AZE",2019,"MCV1","GTEQ_24_MONTHS",NA
"SWZ",2019,"MCV1","12_TO_23_MONTHS","2280"
"AZE",2017,"MCV1","GTEQ_24_MONTHS",NA
"SOM",2017,"MCV1","GTEQ_24_MONTHS","-2222"
"PHL",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"CRI",2017,"MCV1","GTEQ_24_MONTHS","1625"
"PLW",2019,"MCV1","12_TO_23_MONTHS","-4444"
"UKR",2018,"MCV1","GTEQ_24_MONTHS","166223"
"GTM",2018,"MCV1","12_TO_23_MONTHS",NA
"GNB",2019,"MCV1","GTEQ_24_MONTHS","-4444"
"PLW",2018,"MCV1","GTEQ_24_MONTHS","65"
"DEU",2018,"MCV1","GTEQ_24_MONTHS",NA
"MDG",2018,"MCV1","GTEQ_24_MONTHS","-4444"
"SEN",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"HND",2017,"MCV1","12_TO_23_MONTHS","-4444"
"TUN",2019,"MCV1","GTEQ_24_MONTHS","-2222"
"KGZ",2018,"MCV1","12_TO_23_MONTHS",NA
"LBY",2018,"MCV1","12_TO_23_MONTHS",NA
"BWA",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"GBR",2019,"MCV1","12_TO_23_MONTHS",NA
"TCA",2018,"MCV1","12_TO_23_MONTHS","-4444"
"ARG",2019,"MCV1","12_TO_23_MONTHS",NA
"MDA",2017,"MCV1","GTEQ_24_MONTHS","3328"
"PSE",2019,"MCV1","12_TO_23_MONTHS",NA
"PSE",2017,"MCV1","12_TO_23_MONTHS",NA
"CMR",2018,"MCV1","GTEQ_24_MONTHS","5572"
"MNG",2019,"MCV1","12_TO_23_MONTHS","3542"
"GEO",2019,"MCV1","12_TO_23_MONTHS","-4444"
"JOR",2019,"MCV1","GTEQ_24_MONTHS",NA
"BLR",2019,"MCV1","12_TO_23_MONTHS",NA
"YEM",2018,"MCV1","GTEQ_24_MONTHS",NA
"NOR",2019,"MCV1","GTEQ_24_MONTHS",NA
"SLB",2017,"MCV1","12_TO_23_MONTHS",NA
"SYR",2019,"MCV1","12_TO_23_MONTHS","0"
"MWI",2019,"MCV1","GTEQ_24_MONTHS",NA
"PAN",2019,"MCV1","12_TO_23_MONTHS","-4444"
"ALB",2018,"MCV1","12_TO_23_MONTHS",NA
"FIN",2017,"MCV1","GTEQ_24_MONTHS",NA
"CZE",2017,"MCV1","GTEQ_24_MONTHS",NA
"BHR",2018,"MCV1","GTEQ_24_MONTHS","948"
"TUN",2019,"MCV1","12_TO_23_MONTHS",NA
"BTN",2018,"MCV1","12_TO_23_MONTHS",NA
"DJI",2018,"MCV1","GTEQ_24_MONTHS","-2222"
"AZE",2017,"MCV1","12_TO_23_MONTHS",NA
"MRT",2018,"MCV1","GTEQ_24_MONTHS",NA
"JAM",2019,"MCV1","12_TO_23_MONTHS","-4444"
"PLW",2018,"MCV1","12_TO_23_MONTHS",NA
"IDN",2018,"MCV1","GTEQ_24_MONTHS",NA
"PHL",2019,"MCV1","12_TO_23_MONTHS","207442"
"LAO",2017,"MCV1","12_TO_23_MONTHS",NA
"MWI",2018,"MCV1","12_TO_23_MONTHS",NA
"CYP",2017,"MCV1","GTEQ_24_MONTHS",NA
"TGO",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"UZB",2017,"MCV1","GTEQ_24_MONTHS","4381"
"KNA",2017,"MCV1","GTEQ_24_MONTHS","9"
"URY",2018,"MCV1","12_TO_23_MONTHS",NA
"MDG",2019,"MCV1","12_TO_23_MONTHS","197204"
"JAM",2017,"MCV1","GTEQ_24_MONTHS","851"
"ALB",2019,"MCV1","GTEQ_24_MONTHS","4320"
"NIC",2017,"MCV1","12_TO_23_MONTHS",NA
"ABW",2019,"MCV1","12_TO_23_MONTHS",NA
"BIH",2017,"MCV1","12_TO_23_MONTHS",NA
"FIN",2017,"MCV1","12_TO_23_MONTHS",NA
"TTO",2017,"MCV1","12_TO_23_MONTHS","-4444"
"CUB",2019,"MCV1","12_TO_23_MONTHS",NA
"MLI",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"ISL",2017,"MCV1","GTEQ_24_MONTHS",NA
"GAB",2018,"MCV1","GTEQ_24_MONTHS","-4444"
"AGO",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"GTM",2017,"MCV1","12_TO_23_MONTHS","-4444"
"UGA",2018,"MCV1","GTEQ_24_MONTHS","-4444"
"SYR",2018,"MCV1","12_TO_23_MONTHS","0"
"SUR",2017,"MCV1","12_TO_23_MONTHS","-2222"
"PER",2017,"MCV1","GTEQ_24_MONTHS","35744"
"TKM",2018,"MCV1","GTEQ_24_MONTHS","362"
"BGD",2017,"MCV1","12_TO_23_MONTHS","3708164"
"AGO",2019,"MCV1","12_TO_23_MONTHS","201839"
"MAR",2019,"MCV1","GTEQ_24_MONTHS",NA
"NIC",2018,"MCV1","12_TO_23_MONTHS","-4444"
"GAB",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"KOR",2019,"MCV1","GTEQ_24_MONTHS","23360"
"GTM",2017,"MCV1","GTEQ_24_MONTHS","27028"
"KNA",2019,"MCV1","12_TO_23_MONTHS","-4444"
"ECU",2017,"MCV1","12_TO_23_MONTHS",NA
"ROU",2017,"MCV1","12_TO_23_MONTHS",NA
"GNQ",2018,"MCV1","GTEQ_24_MONTHS","-4444"
"TON",2019,"MCV1","12_TO_23_MONTHS",NA
"IRN",2019,"MCV1","12_TO_23_MONTHS",NA
"GEO",2017,"MCV1","GTEQ_24_MONTHS","2943"
"FSM",2017,"MCV1","GTEQ_24_MONTHS","2112"
"AGO",2018,"MCV1","GTEQ_24_MONTHS","-4444"
"PRY",2017,"MCV1","GTEQ_24_MONTHS","4765"
"PHL",2017,"MCV1","12_TO_23_MONTHS","369393"
"AFG",2018,"MCV1","GTEQ_24_MONTHS",NA
"BLZ",2018,"MCV1","12_TO_23_MONTHS","-4444"
"MHL",2019,"MCV1","12_TO_23_MONTHS",NA
"KAZ",2017,"MCV1","GTEQ_24_MONTHS","8985"
"LAO",2017,"MCV1","GTEQ_24_MONTHS",NA
"TCA",2019,"MCV1","GTEQ_24_MONTHS","35"
"GBR",2017,"MCV1","GTEQ_24_MONTHS",NA
"VGB",2017,"MCV1","12_TO_23_MONTHS","-4444"
"CPV",2018,"MCV1","GTEQ_24_MONTHS","10475"
"TGO",2019,"MCV1","12_TO_23_MONTHS","10350"
"BGD",2017,"MCV1","GTEQ_24_MONTHS",NA
"BHS",2019,"MCV1","12_TO_23_MONTHS","-4444"
"SVN",2017,"MCV1","GTEQ_24_MONTHS",NA
"GHA",2019,"MCV1","GTEQ_24_MONTHS",NA
"IRL",2017,"MCV1","12_TO_23_MONTHS",NA
"VUT",2018,"MCV1","GTEQ_24_MONTHS","264"
"LUX",2017,"MCV1","GTEQ_24_MONTHS",NA
"PNG",2018,"MCV1","GTEQ_24_MONTHS","0"
"MOZ",2019,"MCV1","GTEQ_24_MONTHS","-4444"
"BHR",2019,"MCV1","12_TO_23_MONTHS",NA
"BLR",2017,"MCV1","12_TO_23_MONTHS",NA
"TCD",2019,"MCV1","12_TO_23_MONTHS","7332"
"MAR",2017,"MCV1","GTEQ_24_MONTHS",NA
"ARG",2017,"MCV1","GTEQ_24_MONTHS","47498"
"BEL",2017,"MCV1","GTEQ_24_MONTHS",NA
"ARG",2017,"MCV1","12_TO_23_MONTHS",NA
"DOM",2017,"MCV1","12_TO_23_MONTHS","-4444"
"SLB",2018,"MCV1","GTEQ_24_MONTHS","8"
"ISL",2018,"MCV1","GTEQ_24_MONTHS","0"
"ERI",2017,"MCV1","12_TO_23_MONTHS","352"
"TUN",2017,"MCV1","GTEQ_24_MONTHS","776"
"COK",2019,"MCV1","12_TO_23_MONTHS",NA
"MAR",2017,"MCV1","12_TO_23_MONTHS","11400"
"KHM",2018,"MCV1","12_TO_23_MONTHS","9950"
"GAB",2019,"MCV1","GTEQ_24_MONTHS","-4444"
"PSE",2018,"MCV1","GTEQ_24_MONTHS",NA
"SLV",2017,"MCV1","GTEQ_24_MONTHS","902"
"BWA",2019,"MCV1","GTEQ_24_MONTHS","-4444"
"DMA",2018,"MCV1","12_TO_23_MONTHS","-4444"
"RUS",2019,"MCV1","GTEQ_24_MONTHS","6880"
"MLT",2019,"MCV1","GTEQ_24_MONTHS","154"
"CMR",2017,"MCV1","GTEQ_24_MONTHS","7723"
"MOZ",2019,"MCV1","12_TO_23_MONTHS","-4444"
"VEN",2017,"MCV1","GTEQ_24_MONTHS","30927"
"LVA",2018,"MCV1","GTEQ_24_MONTHS","1872"
"DNK",2017,"MCV1","GTEQ_24_MONTHS",NA
"CPV",2017,"MCV1","GTEQ_24_MONTHS",NA
"JAM",2017,"MCV1","12_TO_23_MONTHS","-4444"
"BTN",2018,"MCV1","GTEQ_24_MONTHS",NA
"NGA",2017,"MCV1","GTEQ_24_MONTHS","-4444"
"UKR",2017,"MCV1","GTEQ_24_MONTHS","323745"
"TTO",2018,"MCV1","12_TO_23_MONTHS","-4444"
"SDN",2019,"MCV1","GTEQ_24_MONTHS",NA
"GIN",2019,"MCV1","GTEQ_24_MONTHS","-4444"
"LCA",2017,"MCV1","GTEQ_24_MONTHS","82"
"NGA",2019,"MCV1","12_TO_23_MONTHS","27056"
"ATG",2018,"MCV1","12_TO_23_MONTHS","-4444"
"AUT",2017,"MCV1","12_TO_23_MONTHS",NA
"SWZ",2018,"MCV1","12_TO_23_MONTHS","750"
"MLT",2017,"MCV1","12_TO_23_MONTHS",NA
"DEU",2018,"MCV1","12_TO_23_MONTHS",NA
"BHR",2017,"MCV1","12_TO_23_MONTHS","-4444"
"COK",2018,"MCV1","12_TO_23_MONTHS",NA
"DOM",2017,"MCV1","GTEQ_24_MONTHS","15113"
"KEN",2019,"MCV1","GTEQ_24_MONTHS",NA
"GNQ",2018,"MCV1","12_TO_23_MONTHS","6075"
"UGA",2019,"MCV1","GTEQ_24_MONTHS","-4444"
"SUR",2018,"MCV1","12_TO_23_MONTHS","-4444"
"NLD",2017,"MCV1","12_TO_23_MONTHS",NA
"KOR",2018,"MCV1","12_TO_23_MONTHS",NA
"NLD",2019,"MCV1","12_TO_23_MONTHS",NA
"MHL",2017,"MCV1","12_TO_23_MONTHS","716"
"MDG",2018,"MCV1","12_TO_23_MONTHS","19318"
"BEN",2017,"MCV1","GTEQ_24_MONTHS","0"
"NLD",2017,"MCV1","GTEQ_24_MONTHS",NA
"COD",2017,"MCV1","12_TO_23_MONTHS","34371"
"MLT",2019,"MCV1","12_TO_23_MONTHS",NA
"VEN",2019,"MCV1","12_TO_23_MONTHS","-4444"
"SAU",2018,"MCV1","GTEQ_24_MONTHS",NA
"PAN",2018,"MCV1","12_TO_23_MONTHS","-4444"
"GAB",2019,"MCV1","12_TO_23_MONTHS","113"
"TUN",2017,"MCV1","12_TO_23_MONTHS",NA
"GUM",2017,"MCV1","GTEQ_24_MONTHS","269"
"SYC",2020,"MCV1","GTEQ_24_MONTHS","-2222"
"BRA",2020,"MCV1","GTEQ_24_MONTHS","1483240"
"JAM",2020,"MCV1","GTEQ_24_MONTHS","94"
"PRY",2020,"MCV1","GTEQ_24_MONTHS","-4444"
"SDN",2020,"MCV1","NOT_COLLECTED","1443006"
"VEN",2020,"MCV1","12_TO_23_MONTHS","-4444"
"SYC",2020,"MCV1","12_TO_23_MONTHS","1"
"HTI",2020,"DTPCV3","12_TO_23_MONTHS","-4444"
"URY",2020,"MCV1","NOT_COLLECTED","35782"
"PRY",2020,"DTPCV3","24_TO_36_MONTHS","1041"
"BDI",2020,"MCV1","NOT_COLLECTED","388449"
"URY",2020,"DTPCV3","24_TO_36_MONTHS","393"
"JAM",2020,"MCV1","NOT_COLLECTED","32457"
"HTI",2020,"DTPCV3","NOT_COLLECTED","218421"
"URY",2020,"MCV1","12_TO_23_MONTHS","-4444"
"BDI",2020,"MCV1","12_TO_23_MONTHS","-4444"
"SWZ",2020,"MCV1","NOT_COLLECTED","23659"
"HTI",2020,"DTPCV3","24_TO_36_MONTHS","-4444"
"BDI",2020,"DTPCV3","NOT_COLLECTED","391145"
"VEN",2020,"MCV1","NOT_COLLECTED","407949"
"BRA",2020,"MCV1","NOT_COLLECTED","2322905"
"PRY",2020,"MCV1","12_TO_23_MONTHS","4356"
"HTI",2020,"MCV1","NOT_COLLECTED","219677"
"BDI",2020,"MCV1","GTEQ_24_MONTHS","-4444"
"VEN",2020,"DTPCV3","NOT_COLLECTED","289318"
"HTI",2020,"MCV1","24_TO_36_MONTHS","-4444"
"JAM",2020,"MCV1","12_TO_23_MONTHS",NA
"URY",2020,"DTPCV3","NOT_COLLECTED","32964"
"JAM",2020,"DTPCV3","12_TO_23_MONTHS","241"
"JAM",2020,"DTPCV3","24_TO_36_MONTHS","77"
"SYC",2020,"MCV1","NOT_COLLECTED","1552"
"SDN",2020,"DTPCV3","NOT_COLLECTED","1512376"
"SWZ",2020,"DTPCV3","NOT_COLLECTED","25828"
"PRY",2020,"MCV1","NOT_COLLECTED","96044"
"PRY",2020,"DTPCV3","12_TO_23_MONTHS","3421"
"URY",2020,"MCV1","GTEQ_24_MONTHS","11126"
"SYC",2020,"DTPCV3","NOT_COLLECTED","1506"
"CHE",2020,"MCV1","NOT_COLLECTED","-2222"
"URY",2020,"DTPCV3","12_TO_23_MONTHS","1876"
"BRA",2020,"DTPCV3","NOT_COLLECTED","2254610"
"JAM",2020,"DTPCV3","NOT_COLLECTED","32298"
"PRY",2020,"MCV1","24_TO_36_MONTHS","2445"
"VEN",2020,"MCV1","GTEQ_24_MONTHS","126371"
"CHE",2020,"DTPCV3","NOT_COLLECTED","-2222"
"SDN",2020,"MCV1","12_TO_23_MONTHS","1091"
"PRY",2020,"DTPCV3","NOT_COLLECTED","94667"
"DOM",2020,"DTPCV3","NOT_COLLECTED","155484"
"DNK",2020,"DTPCV3","NOT_COLLECTED","59480"
"DNK",2020,"MCV1","12_TO_23_MONTHS","-2222"
"DNK",2020,"MCV1","NOT_COLLECTED","57952"
"TZA",2020,"MCV1","NOT_COLLECTED","2119442"
"TZA",2020,"DTPCV3","NOT_COLLECTED","2152769"
"DOM",2020,"MCV1","NOT_COLLECTED","156096"
"DNK",2020,"MCV1","GTEQ_24_MONTHS","-2222"
"BOL",2020,"DTPCV3","NOT_COLLECTED","166000"
"CAN",2020,"MCV1","NOT_COLLECTED",NA
"HKG",2020,"DTPCV3","NOT_COLLECTED","-2222"
"BOL",2020,"MCV1","NOT_COLLECTED","180205"
"BOL",2020,"MCV1","GTEQ_24_MONTHS","-2222"
"FIN",2020,"MCV1","NOT_COLLECTED",NA
"HKG",2020,"MCV1","NOT_COLLECTED","-2222"
"BOL",2020,"MCV1","24_TO_36_MONTHS","17122"
"BOL",2020,"MCV1","12_TO_23_MONTHS","17122"
"BOL",2020,"DTPCV3","24_TO_36_MONTHS","3274"
"BOL",2020,"DTPCV3","12_TO_23_MONTHS","9230"
"FIN",2020,"DTPCV3","NOT_COLLECTED",NA
"CAN",2020,"DTPCV3","NOT_COLLECTED",NA
"SWE",2020,"DTPCV3","NOT_COLLECTED",NA
"BLR",2020,"MCV1","GTEQ_24_MONTHS","83"
"BLR",2020,"MCV1","NOT_COLLECTED","83563"
"BLR",2020,"MCV1","12_TO_23_MONTHS","-4444"
"IRL",2020,"MCV1","NOT_COLLECTED","55071"
"BLR",2020,"DTPCV3","NOT_COLLECTED","79595"
"SWE",2020,"MCV1","NOT_COLLECTED",NA
"SWE",2020,"MCV1","12_TO_23_MONTHS","-4444"
"SWE",2020,"MCV1","GTEQ_24_MONTHS","-2222"
"IRL",2020,"DTPCV3","NOT_COLLECTED","56566"
"MAC",2020,"DTPCV3","NOT_COLLECTED","5957"
"PRK",2020,"MCV1","12_TO_23_MONTHS","0"
"PRK",2020,"DTPCV3","NOT_COLLECTED","298120"
"MDV",2020,"MCV1","NOT_COLLECTED","9495"
"MAC",2020,"MCV1","NOT_COLLECTED","6003"
"PRK",2020,"MCV1","NOT_COLLECTED","303428"
"MDV",2020,"DTPCV3","NOT_COLLECTED","6099"
"PRK",2020,"MCV1","GTEQ_24_MONTHS","0"
"NZL",2020,"DTPCV3","NOT_COLLECTED","56243"
"GRC",2020,"MCV1","NOT_COLLECTED",NA
"NZL",2020,"MCV1","12_TO_23_MONTHS","-4444"
"NZL",2020,"MCV1","NOT_COLLECTED","55460"
"GRC",2020,"DTPCV3","NOT_COLLECTED",NA
"AUS",2020,"MCV1","GTEQ_24_MONTHS","-4444"
"AUS",2020,"MCV1","NOT_COLLECTED","-4444"
"AUS",2020,"DTPCV3","NOT_COLLECTED","283014"
"ARG",2020,"DTPCV3","NOT_COLLECTED","475907"
"SVN",2020,"MCV1","NOT_COLLECTED",NA
"ARG",2020,"DTPCV3","12_TO_23_MONTHS","14216"
"IRQ",2020,"MCV1","NOT_COLLECTED","801304"
"TKM",2020,"MCV1","NOT_COLLECTED",NA
"SVN",2020,"DTPCV3","NOT_COLLECTED",NA
"ARG",2020,"DTPCV3","24_TO_36_MONTHS","-4444"
"BGR",2020,"DTPCV3","NOT_COLLECTED","50600"
"BGR",2020,"MCV1","NOT_COLLECTED","49418"
"IRQ",2020,"DTPCV3","NOT_COLLECTED","781492"
"ARG",2020,"MCV1","NOT_COLLECTED","512597"
"TKM",2020,"DTPCV3","NOT_COLLECTED",NA
"ARG",2020,"MCV1","12_TO_23_MONTHS","-4444"
"AUS",2020,"MCV1","12_TO_23_MONTHS","-4444"
"ARG",2020,"MCV1","GTEQ_24_MONTHS","39448"
"AUT",2020,"DTPCV3","NOT_COLLECTED","-2222"
"AUT",2020,"MCV1","NOT_COLLECTED","-2222"
"BHR",2020,"DTPCV3","NOT_COLLECTED","17529"
"BHR",2020,"MCV1","GTEQ_24_MONTHS","505"
"BHR",2020,"MCV1","NOT_COLLECTED","17843"
"SUR",2020,"MCV1","NOT_COLLECTED","6157"
"MUS",2020,"MCV1","NOT_COLLECTED","11113"
"WSM",2020,"MCV1","NOT_COLLECTED","3574"
"JAM",2020,"MCV1","24_TO_36_MONTHS","94"
"MUS",2020,"MCV1","12_TO_23_MONTHS","815"
"SUR",2020,"DTPCV3","NOT_COLLECTED","5961"
"WSM",2020,"DTPCV3","NOT_COLLECTED","4867"
"WSM",2020,"MCV1","GTEQ_24_MONTHS","661"
"MUS",2020,"DTPCV3","NOT_COLLECTED","11150"
"VEN",2020,"MCV1","24_TO_36_MONTHS","126371"
"TKL",2020,"MCV1","NOT_COLLECTED",NA
"JPN",2020,"MCV1","NOT_COLLECTED","953115"
"VUT",2020,"MCV1","12_TO_23_MONTHS","-4444"
"MNP",2020,"MCV1","NOT_COLLECTED","3329"
"LAO",2020,"MCV1","GTEQ_24_MONTHS","-4444"
"XKX",2020,"MCV1","GTEQ_24_MONTHS",NA
"XKX",2020,"MCV1","12_TO_23_MONTHS",NA
"XKX",2020,"DTPCV3","NOT_COLLECTED","21490"
"MNP",2020,"MCV1","12_TO_23_MONTHS","-4444"
"MNP",2020,"DTPCV3","NOT_COLLECTED","866"
"VUT",2020,"MCV1","NOT_COLLECTED",NA
"LAO",2020,"MCV1","NOT_COLLECTED","130500"
"VUT",2020,"DTPCV3","NOT_COLLECTED","7406"
"LAO",2020,"DTPCV3","NOT_COLLECTED","138433"
"JPN",2020,"DTPCV3","NOT_COLLECTED","911140"
"MNP",2020,"MCV1","GTEQ_24_MONTHS","-4444"
"LAO",2020,"MCV1","12_TO_23_MONTHS","9506"
"XKX",2020,"MCV1","NOT_COLLECTED","21556"
"TKL",2020,"DTPCV3","NOT_COLLECTED",NA
"IND",2020,"DTPCV3","NOT_COLLECTED","22509721"
"HND",2020,"DTPCV3","NOT_COLLECTED","158710"
"DMA",2020,"DTPCV3","12_TO_23_MONTHS","0"
"GIN",2020,"MCV1","GTEQ_24_MONTHS","-4444"
"IND",2020,"MCV1","NOT_COLLECTED","23394676"
"ECU",2020,"MCV1","NOT_COLLECTED","266550"
"ETH",2020,"DTPCV3","NOT_COLLECTED","3133392"
"BFA",2020,"MCV1","NOT_COLLECTED","793852"
"DMA",2020,"MCV1","12_TO_23_MONTHS","-4444"
"BWA",2020,"DTPCV3","NOT_COLLECTED","49827"
"DMA",2020,"MCV1","24_TO_36_MONTHS","-2222"
